actual_category,predicted_position,skills,education,experience,companies,id
,Software Engineer,"C++ (6 years), LINUX (6 years), .NET (2 years), VISUAL STUDIO (2 years), JAVA (1 year)

LINKS

http://www.linkedin.com/in/ajayelango

ADDITIONAL INFORMATION

TECHNICAL SKILLS

Programming Languages: C++(98/11), Java, Python, C, JavaScript, MATLAB, SQL, C#, PHP
Software Tools: Microsoft Visual Studio, Eclipse, gdb, ddd, TotalView Debugger,
Hoops 3DGS, OpenGL, IBM ClearCase, GitHub, vi editor, JIRA, Trello
Board, Valgrind, Perforce, LabVIEW, Visio, Enterprise Architect, gedit
Operating Systems: Linux, Windows
Databases: Oracle […] Microsoft SQL Server, IBM DB2","Amrita School of Engineering -, Bachelor of Technology in Electronics & Communication Engineering, Georgia Institute of Technology",,,177
,Process Executive,"HTML (Less than 1 year), MS OFFICE (Less than 1 year), Tally (Less than 1 year)

ADDITIONAL INFORMATION

COMPUTER SKILLS
Packages: MS Office, HTML, TALLY","S.V University, B.Com in C.A","Senior Process Executive, Senior Process Executive",STAR India,178
,System Administrator,"active directory (Less than 1 year), DHCP (Less than 1 year), DNS. (Less than 1 year), Hardware
troubleshooting. (Less than 1 year), Windows Server 2008 (1 year)

ADDITIONAL INFORMATION

♦ operating Systems
MICROSOFT: Windows server 2008
• Build Windows Active Directory. DNS.
• DHCP Management.
• Diagnosed and corrected medium problems in current network
• User Management and Management of Permissions according to requirement
• File System Management.
• Advanced Hardware/Software Installation, configuration and Management.
• Hardware troubleshooting
MICROSOFT: Windows XP, Window7, Window8 and Window10
• Advanced Hardware/Software Installation, configuration and Management.
• File System Management.
• Hardware troubleshooting..",Microsoft Certified Windows server 2008 in active directory,,,179
,Technical Support Associate,Parsuing cs profesional.,Jiwaji University,,,180
,HR Executive,"excel, powerpoint, vlookup, formula, filters, paint, recruitment, (1 year)","New Horizon College, (Bangalore University), BBM in education, Visvesvaraya Technological University","HR Executive, HR Executive, HR Trainee Associate",Founding Years Learning Solutions,181
,Python Developer,"Programming Languages Python, Java.

Scripting Language jQuery, JavaScript, Ajax.

Operating Systems: Linux

Databases: SQL, kafka.

Tools and Utilities: Elasticsearch, Prometheus, Grafana, kibana, Docker, Ajax (Less than 1 year), APACHE KAFKA (Less than 1 year), HTML5 (2 years), Java (2 years),
SQL (2 years)

ADDITIONAL INFORMATION

Technical Profile:

Web Technologies Python, JAVA, HTML5.","Galgotias University, B.Tech in ECE","Senior System Engineer at Infosys Limited, Senior System Engineer at Infosys Limited, Senior System Engineer at Infosys Limited","Infosys, Infosys, Infosys",182
,Security Guard,,,G4S Security,Infosys,183
,Quality Assurance Engineer,"Manual Testing, Protractor, Selenium Webdriver, Automation Testing, API Testing, Manual Testing

JavaScript

Selenium WebDriver

JASMINE

GitHub","Jaypee Institute Of Information Technology, B.Tech","Quality Analyst, Quality Analyst, Quality Analyst","ThoughtWorks Technologies, ThoughtWorks Technologies, ThoughtWorks Technologies",184
,Senior Technology Support Executive,,"MS University, B.SC., Anna University","Senior Technology Support Executive, Senior Technology Support Executive, Senior Technology Support Executive","Infosys, Infosys, Infosys",185
,Software Engineer,"ASP (1 year), ASP.NET (1 year), MS ASP (1 year), .NET (1 year), ENGINEER (Less than 1 year)

ADDITIONAL INFORMATION

Technical Skills

Languages C#, MVC 4.0, ASP.NET, JavaScript, JQuery, AJAX, Windows Services, SQL
Server 2012
IDE MS Visual Studio 2015, SQL server 2012
Web Authoring Tools HTML 5, CSS 3.0, XML
Microsoft Office MS PowerPoint, MS Word, MS Visio, MS Excel
Operating Systems Microsoft Windows
Source Code TFS 2013, VSS 2012
Management","Anna University, B Tech in Sri Ramakrishna, Birla Institute","Systems Engineer, Systems Engineer, Systems Engineer","Infosys Bangalore, Infosys Bangalore",186
,QA Engineer,"Languages C, C++, Java
Database MySQL
Platforms Linux, Windows
Tools JIRA, Application Manager, AppDynamics, AWS, Ecllipse
Web Technologies HTML, PHP, jQuery, AJAX","Tejaa Shakthi Institute of Technology for Womens, B.E in CSE","NOC and QA Engineer, NOC and QA Engineer","Skava an Infosys Company, Skava an Infosys Company",187
,Automation Test Engineer,"CRM (3 years), DATABASE (3 years), ORACLE (3 years), Tosca (3 years), Automation Testing (3
years), Selenium (1 year), Core Java (1 year)

ADDITIONAL INFORMATION

Key Skills:
❖ Software tools: IBM Rational Collaborative Lifecycle Management
❖ Testing Tool: IBM Rational Quality Management on Jazz Server
❖ Test Automation Tools: TOSCA, Selenium
❖ Programming Language: Core Java
❖ IDE: Eclipse
❖ Database: Oracle, EDB, Sqlserver
❖ Database Tools: SQL Developer, Toad, Tora
❖ Software tools: Filezilla, MobaXterm, Putty, Office tools
❖ Platforms: Windows, UNIX
❖ Domain Software Knowledge: Finacle Core Banking Solution, Finacle CRM Solution.

Skills: Fast learner, leadership quality, team player, presentation skills, work devotee, punctual,
good communication and listening skills.","Lucknow Public Inter College, 2011, Saroj Institute of Technology & Management",Test Analyst,"Infosys Ltd/Edgeverve Systems Ltd, Infosys Ltd/Edgeverve Systems Ltd",188
,Junior Software Developer,"10 Skill Sets
• Quick learner and team player, 9 Computer Languages Known:
• C programming basics
• Core java
• SQL/PLSQL",NMAM Institute of Technology,trining,Infosys,189
,Customer Service Representative,"TRAINING (2 years), CASH (Less than 1 year), EXCEL (Less than 1 year), SAP (Less than 1 year),
WINDOWS 7 (Less than 1 year)

ADDITIONAL INFORMATION

-

Good communication skills
Excellent logical reasoning
Innovative and creative
Quick learner
Good knowledge of tools like (SAP, ADMARC, PPI)
Positive attitude to words the problems and solving ability",University of Rajasthan,"Senior Process Executive, Senior Process Executive",,190
,Automation Test Engineer,,"Kurukshetra University, B.Sc in Computer Science","SDET Automation Engineer, SDET Automation Engineer","Infosys, Infosys",191
,Data Warehouse Architect,,"PSG College of Technology, Bachelor of Science in Comp. Technology, PSG College of Technology","Technical Lead, Technical Lead, Technical Lead","Infosys Ltd, Infosys Ltd, Infosys Ltd",192
,SAP PI/PO Developer,"● Corporate Communications
● Creative Team Leadership
● Adept problem solver

• Development of Training Materials
● Strong Analytical and logical skills","PSG COLLEGE OF TECHNOLOGY, ANNA UNIVERSITY, Bachelor of Technology in Information Technology","System Engineer, System Engineer, System Engineer","Infosys Limited, Infosys Limited, Infosys Limited",193
,Cloud Architect,"Sql Server,Cloud Computing,OpenStack, OpenShit, AWS,GCP,Azure, ClouStack,KVM,Hyper-
V,Citrix Xen Server, ESXi, Chef, Ansible, Jenkins, Maven, Sonar Qube, Nexus, Teamcity, Octopus,
(3 years)",Master's,"Project Lead, Project Lead, Project Lead","Infosys OpenStack, Infosys OpenStack, Infosys OpenStack",194
,Admin Assistant,"Front office executive (1 year)

ADDITIONAL INFORMATION

TECHNICAL SKILL
• Basic Knowledge of Computer operating
• MS OFFICE (MS excel, Ms Word and Power Point)
• With typing speed 25 wpm
PERSONAL SKILL
• Positive Attitude
• Good decision making
• Good communication skills
• Confident
• Have zeal to learn new things",Bachelor',Admin assistant,Infosys limited,195
,Technical Lead,"Networking/Platform/Drivers/Vxworks

ADDITIONAL INFORMATION

Key Strengths
• Over 15 years of experience in Ethernet Data Communication Technology Ethernet Routing
Switches, Metro Ethernet Routing Switches, Platform and Wireless
• Good knowledge of Real Time operating Systems (Vxworks) and Drivers
• Highly skilled in performing analytical and logic building functions to provide feasible solutions
to problems
• Brilliant interpersonal coordination and communication skills
• Competent at leading, managing and training teams on different aspects of data
communication systems

Technical Skill Set
SYSTEMS WORKED ON * Data communication -Multi Service Transport Network Controller Cards,
Ethernet Routing Switch,","Board of Technical Education, B.E. in Computer Science, BITS Pilani","Principal System Engineer, Principal System Engineer","Infosys, Infosys, Infosys",196
,Credit Analyst,"EDD, CDD, credit risk assessment, KYC, Banking, credit risk analysis, Customer Handling,
Portfolio Management, Customer Service","West Bengal State University, Bcom","SME, SME",TCS,197
,Software Developer,"ADOBE PHOTOSHOP (Less than 1 year), ANDROID (Less than 1 year), APPLICATION SOFTWARE
(Less than 1 year), C++ (Less than 1 year), CSS (Less than 1 year)

ADDITIONAL INFORMATION

Technical skills:

• Programing Languages: C, C++ and JAVA.

• Databases: MySQL, SQL server (SQLyog)

• Web tools: HTML, CSS.

• Operating Systems: Windows (XP, 8, 8.1, 10), Ubuntu, fedora, Linux.",,"internship, internship, internship","Infosys, Infosys, Infosys",198
,Accountant,"Computer Skills
@ MS-CIT Course passed with 74 % (Microsoft-word, Excel, and Power-point)
@ Diploma in Financial Accounting with tally 9 Erp. (87%), @ Strong analytical ability @ Good communication skills @ Client relationship management @
Team player","2011, shivaji University, B.Com in Accounts",accountant,infosys,199
,Linux Administrator,"file systems (2 years), Linux (2 years), maintenance (2 years), scheduling (2 years)","SRIKALAHASTEESWARA INSTITUTE OF TECHNOLOGY, Bachelor Of Technology in insurance",Linux Administrator,"Infosys, Infosys, Infosys",200
,Entry-Level/Trainee Position,,"School, 10th",,Microsoft,201
,System Administrator,"Database:
MS-Access
Other:
Hardware & Networking, Core Java, C, C++",Ramkrishna krida High,"Microsoft Certified System Engineer, Microsoft Certified System Engineer",,202
,System Administrator,,"Adi Sankara Polytechnic College, DCE, ST.Joseph college","System Administrator (Server), System Administrator (Server), System Administrator (Server)","Microsoft, Microsoft, Microsoft",203
,Software Tester,,"Indraprastha Public School, C.B.S.E, Uttrakhand Technical University","Microsoft technology Associate (MTA), Microsoft technology Associate (MTA)",,204
,Technical Support Engineer,,Bachelor of Engineering in EnTC,Assisting Microsoft Partners - Exchange Online and Office,Pune University,205
,Technical Support Specialist,,"Acharya Nagarjuna University, MBA, Acharya Nagarjuna University","specialist

Technology Process, specialist - Technology Process","Microsoft

Infosys Limited",206
,Microsoft Dynamics AX Technical Consultant,"asp.net, dynamics ax technical consultant, sql, x++","Sreenidhi Institute of science and technology, BE in Computer science, Indian Terrain Fashions Limited -","dynamics AX Technical consultant, Microsoft dynamics AX Technical consultant, Microsoft dynamics AX Technical consultant","Microsoft, Microsoft",207
,Backup Administrator,"Microsoft DPM, EMC Legato Networker & Symantec Backup Exec","Bishop Ambrose College, Bharathiar University, B.Sc in Computer Science, MS in Systems Engineering in Systems Engineering","Backup Administrator, Backup Administrator, Backup Administrator","BITS Pilani, MICROSOFT, MICROSOFT",208
,Jr. Developer,,"Palesh Commerce College, M.D., RCPET's I.M.R.D College","Jr. Developer, Microsoft SQL-SERVER, Microsoft SQL-SERVER",Softzel Technologies Pvt. Ltd,209
,Customer Service Representative,"❖ Smart Working.
❖ Fast and keen learner.
❖ Works well within a team and also independently.
❖ Flexible and high adaptability to new approaches, people and environments.
❖ Professional approach and positive attitude.
❖ Hard working with abstract thinking.
❖ Good personal skills like photography & software issues.
❖ Good Communications Skills",,Customer Care Associate Microsoft,Convergys,210
,System Engineer,Operating Systems:,AMIE sec A,"Certified System Engineer, Microsoft, Certified System Engineer",,211
,IT Support Specialist,"SQL (1 year), HTML (Less than 1 year), INCIDENT MANAGEMENT (Less than 1 year), IT
INFRASTRUCTURE (Less than 1 year), MS OFFICE (Less than 1 year)","Indraprastha Engineering College, Uttar Pradesh Technical University, Bachelor of Technology in Computer Science Engineering",L1 Analyst in Microsoft project,HCL Technologies,212
,Billing Operator,TALLY MICROSOFT DYNAMIC OPARATER MICIT,B.COM,"Microsoft Dainamic Software Billing Operator, Microsoft Dainamic Software Billing Operator","PUNE UNIVERCITY, Shreenath Engence
(COFFEEDAY)",213
,Research Assistant,"Computer: Proficient in Windows, Word, Excel, Outlook, PowerPoint Language: Fluent in verbal
and written English, Hindi and Bengali, EXCEL (Less than 1 year), OUTLOOK (Less than 1 year), POWERPOINT (Less than 1 year),
WORD (Less than 1 year)","St. Paul's Academy, C.B.S.E, Army Public School",,,214
,SAP UI5 Lead Developer,"SAP HANA (4 years), SAP UI5/Fiori (4 years), AngularJs (Less than 1 year), Web Development
(8 years), Asp.Net (5 years), C# (4 years), SQL Server (3 years), HTML5 (5 years), Javascript (6
years), CSS3 (6 years), Software Solution Design (2 years), VBA (2 years), SAP BI (2 years)","'O' Level in Computer Application, 'A' Level in Computer Application, University of Calcutta","Software Engineer, Software Engineer, SAP UI5 Lead, Native HANA Developer","Shell, Shell, Shell",215
,Environmental Engineer,,"Government Engineering College Bhuj, BE in Environmental Engineering",Student,,216
,IT Manager,"DATA BACKUP (1 year), EXCHANGE (1 year), LAN (1 year), MAINTENANCE (1 year), SAP (1 year)",,"Microsoft Azure (Basic Management), Microsoft Azure (Basic Management), Microsoft Azure (Basic Management)",,217
,Financial Analyst,"AUDITING (Less than 1 year), CFA (Less than 1 year), DERIVATIVES (Less than 1 year),
FINANCIAL ANALYST (Less than 1 year), FINANCIAL STATEMENT ANALYSIS (Less than 1 year)",,"Microsoft Office Suite - Expert, Microsoft Office Suite - Expert",,218
,PMO Analyst,"Excel (10+ years), Operations (7 years), Project management (5 years)","Ramakrishna College, B.Sc. in Biochemistry in Biochemistry, Bharathiar University","PMO, PMO, PMO","Infosys BPO Ltd, Infosys BPO Ltd, Infosys BPO Ltd",219
,Security Analyst,"Splunk, Network Security, Arc sight (2 years), SIEM (2 years), McAfee ESM (1 year)","Jawaharlal Nehru Technological University, B- Tech","Security Analyst, Security Analyst",Infosys - Career Contour,220
Data Science,Data Science,"Python (pandas, numpy, scipy, scikit-learn, matplotlib), Sql, Java, JavaScript/JQuery, Regression, SVM, Naive Bayes, KNN, Random Forest, Decision Trees, Boosting techniques, Cluster Analysis, Word Embedding, Sentiment Analysis, Natural Language processing, Dimensionality reduction, Topic Modelling (LDA, NMF), PCA & Neural Nets, Mysql, SqlServer, Cassandra, Hbase, ElasticSearch D3.js, DC.js, Plotly, kibana, matplotlib, ggplot, Tableau, Regular Expression, HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker, computer vision - Open CV, Deep learning, NLTK, spacy, tfidf, word2vec, doc2vec, cosine similarity, Vader, text blob, Bootstrap, Node.js",Data Science Assurance Associate,"Core member of a team developing an automated review platform tool for E-discovery, implementing predictive coding and topic modeling. Conducted research and development for classification models and predictive analysis. Performed sentiment and time series analysis on customer feedback data, created visualizations, and developed a user-friendly chatbot. Managed information governance by scanning and parsing data, extracting metadata, and performing ROT and full-text search analysis. Involved in a Fraud Analytics and investigative platform to identify anomalies in accounting systems.",,221
Data Science,Data Science,"Python, Statsmodels, AWS, Machine learning, Sklearn, Scipy, Keras, missing value treatment, outlier detection, encoding, scaling, feature selection, dimensionality reduction, classification, regression, time series forecasting (ARIMA, SARIMAX, Holt-winter, Prophet), meta-feature extraction",B.E from UIT-RGPV (May 2013 - May 2017),"Developed and deployed auto preprocessing steps of machine learning (missing value treatment, outlier detection, encoding, scaling, feature selection, dimensionality reduction). Deployed automated classification and regression models. Researched and deployed time series forecasting models (ARIMA, SARIMAX, Holt-winter, Prophet). Worked on meta-feature extracting problems. Implemented a state-of-the-art research paper on outlier detection for mixed attributes at Matelabs.",,222
Data Science,Data Science,"Deep Learning, Control System Design, Programming in Python, Electric Machinery, Web Development, Analytics, Matlab, Java, LabView, Django, Flask, LTSPICE, MIPOWER, Github (GitBash), Jupyter Notebook, Xampp, MySQL, Anaconda, Python2, Python3, Pycharm, Eclipse, Windows, Ubuntu, Debian-Kali Linux, Data Analysis, Excel, Machine Learning, Mathematics, SQL","B.Tech. Electrical and Electronics Engineering - Manipal Institute of Technology (January 2019), DEEKSHA CENTER (January 2015), Little Flower Public School (January 2013), Manipal Academy of Higher (August 2000)","Currently working with a Casino based operator in Macau, focusing on customer segmentation to improve target marketing strategies. Previously, 4 weeks internship at Hindustan Aeronautics Limited, Bangalore, under Mr. Satish, Senior Engineer in the hangar of Mirage 2000 fighter aircraft.",,223
Data Science,Data Science,"R, Python, SAP HANA, Tableau, SAP HANA SQL, SAP HANA PAL, MS SQL, SAP Lumira, C#, Linear Programming, Data Modelling, Advance Analytics, SCM Analytics, Retail Analytics, Social Media Analytics, NLP, Deep Learning, Machine Learning, ETL, Time Series Forecasting, K-means, RFM analysis, Decision Tree, SQL, T-SQL, PL-SQL, UML, Performance Tuning, Data Flow Diagrams, Entity Relationship Diagrams, Data Extraction, Report Building, Data Restructuring, Model Deployment, Data Validation, Project Management, Team Leadership, Client Interaction, Requirements Gathering, Database Maintenance, Quality Assurance, User Acceptance Testing, Knowledge Transfer, Support Activities","[{'degree': 'PGDM Business Analytics', 'university': 'Great Lakes Institute of Management & Illinois Institute of Technology', 'dates': 'January 2017 to January 2018'}, {'degree': 'Bachelor of Engineering Electronics and Communication', 'university': 'New Horizon College of Engineering, Bangalore Visvesvaraya Technological University', 'dates': 'January 2013'}]","[{'title': 'Data Science Consultant', 'company': 'Deloitte USI', 'description': 'Analyzed historic deals to optimize future deals, extracted data, built Tableau reports, inferred insights for price optimization and process blockades. Developed sentence correction functionality for handwriting recognition using LSTM models in Python. Led offshore team for analytics infrastructure development on SAP S/4, including data modeling, ETL, and report validation. Involved in design to deploy phase for clinical healthcare system, performing data restructuring and building models. Set up CRM and CBP modules, developed various models for consumption-based planning. Segmented customer data using K-means and RFM analysis in Python. Developed decision tree for telecom invoice state detection.', 'duration': 'Consultant: 3 months (Handwriting recognition), 8 months (SWIFT), 2 months (Clinical Healthcare System), 8 months (Consumption Based Planning), 3 months (Customer Segmentation), 1 month (Telecom Invoice state detection)'}, {'title': 'Senior Developer', 'company': 'Accenture Solutions Pvt. Ltd., India', 'description': 'Developed SAP analytics tool (In Process Analytics - IPA), focusing on database objects and data models for operational insights. Developed Finance related KPIs, spearheaded deployments, and introduced SAP Predictive analytics. Designed and implemented SAP HANA data modeling, created complex SQL scripts, and developed dashboard functionality. Involved in building data processing algorithms for R server.', 'duration': '19 months'}, {'title': 'Database Developer', 'company': 'Accenture Solutions Pvt. Ltd., India', 'description': 'Managed all development activities for Accenture Testing Accelerator for SAP (ATAS) tool, including deployments. Involved in maintenance of production and quality database servers. Analyzed business requirements, created/updated database objects (tables, views, stored procedures, functions, packages), monitored SQL Server logs, prepared DFDs and ERDs, designed and normalized database tables, performed performance tuning, and participated in QA, UAT, knowledge transfer, and support.', 'duration': '21 months'}]",,224
Data Science,Data Science,"Data Structure, C, Data Analysis, Python, Core Java, Database Management","MCA from YMCAUST, Faridabad, Haryana",Data Science internship at Itechpower,,225
Data Science,Data Science,"C Basics, IOT, Python, MATLAB, Data Science, Machine Learning, HTML, Microsoft Word, Microsoft Excel, Microsoft Powerpoint, MS OFFICE","B.Tech. from Aurora's Scientific and Technological Institute (August 2014 - May 2018), Secondary Education from SR Junior College (June 2012 - May 2014)","Less than 1 year experience in MS OFFICE, C, machine learning, data science, and Matlab.",,226
Data Science,Data Science,"Python, Tableau, Data Visualization, R Studio, Machine Learning, Statistics, Data Science, Data manipulation, Data cleaning, Data processing, Advanced querying, Analytics tools, Problem-solving, Decision making","B. Tech Computer Science & Engineering, Indo Global College of Engineering (January 2017)","1+ years of experience as a Data Science Consultant at Datamites, focusing on data analysis, processing, visualization, and validation using Python and Tableau. Also worked at Heretic Solutions Pvt Ltd, identifying business issues, proposing data-driven solutions, and utilizing Python, Excel, R, machine learning, and statistical techniques.",,227
Data Science,Data Science,"Numpy, Machine Learning, Tensorflow, Scikit, Python, GCP, Pandas, Neural Network, Deep Learning, Data Science, Software Development, Algorithms, NLP, Seaborn, Matplotlib, Cufflinks, KNN, Decision Tree, Bias variance Trade off, Support vector Machine (SVM), Logistic Regression, MySQL, Oracle, C++, Java, Google Cloud, Linux, Ubuntu, Windows, Interpersonal skills, Communication skills, Problem solving, Flexibility, Code reusability, Linear regression, K means clustering, SQL, NetBeans, Notebooks, Sublime, Service Now, Remedy, Text extraction, Regex, Bluemix NLU APIs, SKLearn classifier (MNB, SVM, SGD), RNN (LSTM) Bidirectional model, Keras TensorFlow framework","B.Tech (Computer Science) from Rayat and Bahra Institute of Engineering and Biotechnology (2016, 78.4%), XII from Moti Ram Arya Sr. Secondary School (2012, 78.4%), X from Valley Public School (2010, 9.4 CGPA)","2 years of experience at Wipro Technologies in Machine Learning, Deep Learning, Data Science, Python, and Software Development. Managed end-to-end development and software products/projects. Worked on Wipro Neural Intelligence Platform, focusing on automation and AI technologies like NLP, cognitive, machine learning, and analytics. Developed Entity Extractor using text extraction, NLP, Regex, Bluemix NLU APIs, and TensorFlow. Implemented Classifier using SKLearn classifiers (MNB, SVM, SGD) for predicting output. Developed a Deep Learning NER Model using RNN (LSTM) Bidirectional model with Keras TensorFlow framework. Also developed a Diabetes Detection software.",,228
Data Science,Data Science,"Machine Learning, Deep Learning, NLP, Python, SQL, Web Scraping, Web Crawling, HTML, CSS, Pandas, Scikit-learn, TensorFlow, NumPy, Matplotlib, NLTK, MySQL, Text classification, Sentiment analysis, Tf-idf, LSA, Cosine similarity, Selenium WebDriver, Beautiful Soup, Technical understanding, Learning agility, High energy, Result-oriented, Communication, Policy explanation","Master of Engineering in Computer Technology & Application (Truba Institute of Engineering & Information Technology, 2018), B.E. in Computer Science (RKDF Institute of Science and Technology College of Engineering, 2010), Polytechnic in Information Technology (SATI Engineering College, 2006), M.tech Thesis (BMCH School, 2003)","Six months experience in Data Science. At RNT.AI Technology Solution, worked on text classification using machine learning algorithms with Python, developed custom data models and algorithms, applied deep learning algorithms (RNN), and performed sentiment analysis. Utilized Python packages like Pandas, Scikit-learn, TensorFlow, NumPy, Matplotlib, NLTK, and worked with SQL/MySQL. Performed web crawling using Selenium WebDriver and Beautiful Soup. At Life Insurance Corporation of India, explained policy features and benefits and maintained updated knowledge of life insurance products.",,229
Data Science,Data Science,"Data and Quantitative Analysis, Decision Analytics, Predictive Modeling, Data-Driven Personalization, KPI Dashboards, Big Data Queries and Interpretation, Data Mining and Visualization Tools, Machine Learning Algorithms, Business Intelligence (BI), Research, Reports and Forecasts, Algorithms, BI, Business Intelligence, Machine Learning, Visualization, Spark, Python, Tableau, Data Analysis, AWS LEX, TensorFlow, Selenium WebDriver, Hadoop Eco System, Hive, PySpark, QlikSense, Microsoft Face API, OpenCV, R, NLP, Apache Spark, IBM Bluemix, Mentoring, Research Evaluation, Project Management, Solution Providing, Social Impact Projects","PGP in Data Science from Aegis School of Data Science & Business, Mumbai, Maharashtra; B.E. in Electronics & Communication from IES IPS Academy, Indore, Madhya Pradesh","Data Scientist with PR Canada. Adjunct faculty member at Aegis School of Data Science, Mumbai (2017-Present) teaching undergraduate and graduate-level courses in Spark and Machine Learning. Data Science Intern at Aegis school of Data & Business (Nov 2015 - Jan 2016), providing insights, analytics, reports, and recommendations to executive leadership. Worked on industry projects for solution provision. Developed a Chat Bot using AWS LEX and TensorFlow. Performed web scraping using Selenium WebDriver. Built data visualization and insights solutions using Hadoop Eco System, Hive, PySpark, and QlikSense. Developed an Image Based Fraud Detection system using Microsoft Face API, PySpark, and OpenCV. Conducted Churn Analysis for an Internet Service Provider using R, Python, Machine Learning, and Hadoop. Performed Sentiment Analysis using Python, NLP, and Apache Spark service in IBM Bluemix. Mentored Data Science Enthusiasts, reviewed research papers, headed a solution providing organization, and worked on social cause projects. Worked at IBM India pvt ltd, primarily on Blumix and IBM Watson for Data Science.",,230
Data Science,Data Science,"Python (pandas, numpy, scipy, scikit-learn, matplotlib), Sql, Java, JavaScript/JQuery, Regression, SVM, Naive Bayes, KNN, Random Forest, Decision Trees, Boosting techniques, Cluster Analysis, Word Embedding, Sentiment Analysis, Natural Language processing, Dimensionality reduction, Topic Modelling (LDA, NMF), PCA & Neural Nets, Mysql, SqlServer, Cassandra, Hbase, ElasticSearch D3.js, DC.js, Plotly, kibana, matplotlib, ggplot, Tableau, Regular Expression, HTML, CSS, Angular 6, Logstash, Kafka, Python Flask, Git, Docker, computer vision - Open CV, Deep learning, NLTK, spacy, tfidf, word2vec, doc2vec, cosine similarity, Vader, text blob, Bootstrap, Node.js",Data Science Assurance Associate,"Core member of a team developing an automated review platform tool for E-discovery, implementing predictive coding and topic modeling. Conducted research and development for classification models and predictive analysis. Performed sentiment and time series analysis on customer feedback data, created visualizations, and developed a user-friendly chatbot. Managed information governance by scanning and parsing data, extracting metadata, and performing ROT and full-text search analysis. Involved in a Fraud Analytics and investigative platform to identify anomalies in accounting systems.",,231
Data Science,Data Science,"Python, Statsmodels, AWS, Machine learning, Sklearn, Scipy, Keras, missing value treatment, outlier detection, encoding, scaling, feature selection, dimensionality reduction, classification, regression, time series forecasting (ARIMA, SARIMAX, Holt-winter, Prophet), meta-feature extraction",B.E from UIT-RGPV (May 2013 - May 2017),"Developed and deployed auto preprocessing steps of machine learning (missing value treatment, outlier detection, encoding, scaling, feature selection, dimensionality reduction). Deployed automated classification and regression models. Researched and deployed time series forecasting models (ARIMA, SARIMAX, Holt-winter, Prophet). Worked on meta-feature extracting problems. Implemented a state-of-the-art research paper on outlier detection for mixed attributes at Matelabs.",,232
Data Science,Data Science,"Deep Learning, Control System Design, Programming in Python, Electric Machinery, Web Development, Analytics, Matlab, Java, LabView, Django, Flask, LTSPICE, MIPOWER, Github (GitBash), Jupyter Notebook, Xampp, MySQL, Anaconda, Python2, Python3, Pycharm, Eclipse, Windows, Ubuntu, Debian-Kali Linux, Data Analysis, Excel, Machine Learning, Mathematics, SQL","B.Tech. Electrical and Electronics Engineering - Manipal Institute of Technology (January 2019), DEEKSHA CENTER (January 2015), Little Flower Public School (January 2013), Manipal Academy of Higher (August 2000)","Currently working with a Casino based operator in Macau, focusing on customer segmentation to improve target marketing strategies. Previously, 4 weeks internship at Hindustan Aeronautics Limited, Bangalore, under Mr. Satish, Senior Engineer in the hangar of Mirage 2000 fighter aircraft.",,233
